timestamp,ontario_demand_mw,predicted_demand_mw,baseline_demand_mw,lower_90_mw,upper_90_mw,absolute_error_mw
2026-07-06 23:00:00,16782,14955.101486691523,16701.0,13857.662678493798,16517.053049031667,1826.898513308477
2026-07-07 00:00:00,16140,14115.271611541328,16014.0,13017.832803343603,15677.223173881472,2024.7283884586723
2026-07-07 01:00:00,15653,13748.980527720496,15516.0,12651.541719522771,15310.93209006064,1904.019472279504
2026-07-07 02:00:00,15345,13307.33409810831,15391.0,12209.895289910584,14869.285660448453,2037.6659018916907
2026-07-07 03:00:00,15270,13000.56549640658,15098.0,11903.126688208855,14562.517058746724,2269.4345035934202
2026-07-07 04:00:00,15364,13378.287128925953,15071.0,12280.848320728228,14940.238691266097,1985.7128710740471
2026-07-07 05:00:00,16165,14091.91935926138,15770.0,12994.480551063654,15653.870921601523,2073.080640738621
2026-07-07 06:00:00,17319,14978.901903404387,16779.0,13881.463095206662,16540.85346574453,2340.0980965956132
2026-07-07 07:00:00,18098,15967.530921309477,17877.0,14870.092113111752,17529.48248364962,2130.469078690523
2026-07-07 08:00:00,18769,16794.25635415024,18920.0,15696.817545952514,18356.20791649038,1974.7436458497614
2026-07-07 09:00:00,19459,17363.587390771205,20274.0,16266.14858257348,18925.538953111347,2095.412609228795
2026-07-07 10:00:00,20010,17785.272033754387,21292.0,16687.833225556664,19347.22359609453,2224.727966245613
2026-07-07 11:00:00,20186,18270.4129402583,22080.0,17172.974132060575,19832.36450259844,1915.5870597417015
2026-07-07 12:00:00,20614,18786.219496020007,22792.0,17688.780687822284,20348.17105836015,1827.7805039799932
2026-07-07 13:00:00,21142,19157.980081182755,23010.0,18060.54127298503,20719.931643522898,1984.0199188172446
2026-07-07 14:00:00,21548,19333.01366545556,23143.0,18235.574857257838,20894.965227795703,2214.986334544439
2026-07-07 15:00:00,22033,20238.36842274963,23014.0,19140.929614551904,21800.319985089773,1794.6315772503694
2026-07-07 16:00:00,22870,21937.21329563343,23232.0,20839.77448743571,23499.164857973574,932.7867043665683
2026-07-07 17:00:00,22864,22027.989626400165,23327.0,20930.550818202442,23589.941188740308,836.0103735998346
2026-07-07 18:00:00,22844,22039.06597797459,23526.0,20941.627169776868,23601.017540314733,804.9340220254089
2026-07-07 19:00:00,22296,20637.131011706384,23361.0,19539.69220350866,22199.082574046526,1658.868988293616
2026-07-07 20:00:00,21612,20104.259306348464,23300.0,19006.820498150737,21666.210868688606,1507.7406936515363
2026-07-07 21:00:00,20434,18897.801293163648,22310.0,17800.362484965925,20459.75285550379,1536.1987068363524
2026-07-07 22:00:00,18814,17200.491956665574,21276.0,16103.053148467849,18762.443519005716,1613.5080433344265
2026-07-07 23:00:00,17356,15982.924626580701,19917.0,14885.485818382977,17544.876188920844,1373.0753734192986
2026-07-08 00:00:00,16499,15234.495923924194,19083.0,14137.05711572647,16796.447486264336,1264.5040760758056
2026-07-08 01:00:00,15833,14547.312261179073,18313.0,13449.873452981348,16109.263823519217,1285.6877388209268
2026-07-08 02:00:00,15420,14354.386952310177,17933.0,13256.948144112452,15916.33851465032,1065.6130476898234
2026-07-08 03:00:00,15446,14376.668578097162,17285.0,13279.229769899437,15938.620140437306,1069.331421902838
2026-07-08 04:00:00,15633,14390.117913615248,17114.0,13292.679105417523,15952.069475955392,1242.8820863847523
2026-07-08 05:00:00,16382,14992.398748302192,17039.0,13894.959940104467,16554.350310642334,1389.601251697808
2026-07-08 06:00:00,17617,16145.762047358901,17790.0,15048.323239161176,17707.713609699043,1471.2379526410987
2026-07-08 07:00:00,18715,17304.147733176786,19207.0,16206.70892497906,18866.099295516928,1410.8522668232144
2026-07-08 08:00:00,19548,17936.37362349145,20609.0,16838.934815293724,19498.325185831593,1611.6263765085496
2026-07-08 09:00:00,20489,18412.607123703045,22011.0,17315.168315505318,19974.558686043187,2076.3928762969554
2026-07-08 10:00:00,21152,18959.95857439741,22772.0,17862.519766199686,20521.91013673755,2192.0414256025906
2026-07-08 11:00:00,21685,19221.274013855236,23253.0,18123.83520565751,20783.22557619538,2463.7259861447637
2026-07-08 12:00:00,22098,19158.105213728268,23757.0,18060.666405530545,20720.05677606841,2939.8947862717323
2026-07-08 13:00:00,22369,19351.385201313424,23833.0,18253.9463931157,20913.336763653566,3017.6147986865763
2026-07-08 14:00:00,22750,19761.924446845445,23613.0,18664.48563864772,21323.876009185587,2988.0755531545547
2026-07-08 15:00:00,22801,20518.939863103595,23751.0,19421.50105490587,22080.891425443737,2282.0601368964053
2026-07-08 16:00:00,22998,21715.868452735172,23719.0,20618.42964453745,23277.820015075315,1282.1315472648275
2026-07-08 17:00:00,23175,22047.912822999155,22208.0,20950.47401480143,23609.864385339297,1127.0871770008453
2026-07-08 18:00:00,23255,22047.912822999155,21543.0,20950.47401480143,23609.864385339297,1207.0871770008453
2026-07-08 19:00:00,22944,21126.719898931977,21400.0,20029.28109073425,22688.67146127212,1817.2801010680232
2026-07-08 20:00:00,22711,20235.77416393991,21387.0,19138.335355742187,21797.725726280052,2475.22583606009
2026-07-08 21:00:00,21488,18940.80306063438,20441.0,17843.36425243665,20502.75462297452,2547.196939365622
2026-07-08 22:00:00,19932,17466.104922693015,19744.0,16368.66611449529,19028.056485033158,2465.8950773069846
2026-07-08 23:00:00,18478,17115.125821217025,18604.0,16017.6870130193,18677.077383557167,1362.874178782975
2026-07-09 00:00:00,17558,16322.266391310037,17971.0,15224.827583112312,17884.21795365018,1235.7336086899631
2026-07-09 01:00:00,16998,15774.264221151741,17391.0,14676.825412954016,17336.215783491883,1223.7357788482586
2026-07-09 02:00:00,16502,15377.785899812716,16841.0,14280.34709161499,16939.737462152858,1124.2141001872842
