date,average_demand_mw,peak_demand_mw,minimum_demand_mw,total_energy_gwh,hour_of_day,load_factor
2023-09-06,19914.0,22966,15623,477.936,16,0.8671078986327615
2023-09-07,18594.458333333332,21166,15329,446.267,16,0.8785060159375098
2023-09-08,15915.208333333334,17440,13651,381.965,16,0.9125692851681958
2023-09-09,14328.291666666666,16069,12580,343.879,19,0.8916728898292778
2023-09-10,14629.583333333334,17257,12125,351.11,19,0.847747773850225
2023-09-11,16166.291666666666,19016,12738,387.991,16,0.8501415474687982
2023-09-12,15972.208333333334,18064,13123,383.333,16,0.8842010813404193
2023-09-13,14747.0,16369,12560,353.928,19,0.9009102571934755
2023-09-14,14470.708333333334,16412,11925,347.297,19,0.8817151068323991
2023-09-15,14496.333333333334,16554,11998,347.912,17,0.8756997301759897
2023-09-16,13599.666666666666,15496,11771,326.392,18,0.8776243331612459
2023-09-17,13801.166666666666,16163,11505,331.228,18,0.8538740745323681
2023-09-18,14745.375,16704,11933,353.889,18,0.882745150862069
2023-09-19,14416.458333333334,16489,12020,345.995,18,0.8743076192208947
2023-09-20,14582.541666666666,16865,12154,349.981,18,0.8646630101788714
2023-09-21,14872.083333333334,17238,12002,356.93,16,0.8627499323200681
2023-09-22,14730.833333333334,16827,12214,353.54,16,0.875428378994077
2023-09-23,13615.041666666666,15278,12000,326.761,18,0.8911534014050704
2023-09-24,13482.125,16240,11402,323.571,18,0.8301801108374385
2023-09-25,14821.75,17143,11965,355.722,16,0.8645948783760136
2023-09-26,14759.583333333334,16648,12338,354.23,18,0.8865679561108442
2023-09-27,14501.541666666666,16382,12401,348.037,18,0.885211919586538
2023-09-28,14617.833333333334,16700,12046,350.828,18,0.8753193612774451
2023-09-29,14667.5,16496,12216,352.02,18,0.8891549466537343
2023-09-30,14015.666666666666,16418,11965,336.376,17,0.8536768587322857
2023-10-01,14260.5,17211,11598,342.252,17,0.8285689384695835
2023-10-02,15925.791666666666,19552,12270,382.219,16,0.814535171167485
2023-10-03,16828.5,20849,12857,403.884,16,0.8071610149167826
2023-10-04,16813.75,20609,12998,403.53,16,0.8158450191663836
2023-10-05,16290.208333333334,18586,13152,390.965,15,0.8764773664765595
2023-10-06,15214.333333333334,16987,12815,365.144,17,0.8956456898412511
2023-10-07,13428.75,14878,11757,322.29,18,0.9025910740690953
2023-10-08,13199.583333333334,14811,11260,316.79,18,0.8912013593500326
2023-10-09,13407.75,15613,11385,321.786,18,0.8587555242426184
2023-10-10,14900.833333333334,17004,11903,357.62,18,0.8763134164510311
2023-10-11,14930.0,16829,12478,358.32,18,0.887159070651851
2023-10-12,14549.291666666666,16338,12438,349.183,18,0.8905185253192965
2023-10-13,14680.583333333334,16266,12503,352.334,18,0.9025318660600845
2023-10-14,13801.5,15544,11760,331.236,17,0.8878988677303139
2023-10-15,13666.541666666666,15854,11842,327.997,18,0.8620248307472351
2023-10-16,14937.125,16904,11990,358.491,18,0.8836444036914339
2023-10-17,14694.791666666666,16502,12345,352.675,18,0.8904854967074698
2023-10-18,14459.375,16355,12142,347.025,17,0.8840950779578111
2023-10-19,14592.375,16313,12128,350.217,16,0.8945243057684056
2023-10-20,14832.666666666666,16465,12248,355.984,9,0.9008604109727705
2023-10-21,13871.208333333334,15545,11725,332.909,17,0.892326042671813
2023-10-22,13620.0,16082,11650,326.88,18,0.8469095883596568
2023-10-23,14770.5,16950,12528,354.492,18,0.8714159292035398
2023-10-24,14521.333333333334,16135,12203,348.512,17,0.8999896704885859
2023-10-25,14714.541666666666,16517,11793,353.149,17,0.890872535367601
2023-10-26,14794.666666666666,16495,12222,355.072,16,0.8969182580579973
2023-10-27,14584.083333333334,16470,12048,350.018,17,0.8854938271604939
2023-10-28,13490.791666666666,15447,11784,323.779,17,0.8733599835998359
2023-10-29,14206.708333333334,16553,11717,340.961,17,0.8582558045872853
2023-10-30,15756.458333333334,17858,12561,378.155,18,0.8823193153395305
2023-10-31,15769.625,17456,13427,378.471,16,0.903392816223648
2023-11-01,15965.791666666666,18216,13464,383.179,17,0.8764707766066462
2023-11-02,15635.375,17463,13417,375.249,17,0.8953430109374105
2023-11-03,14950.375,16616,12746,358.809,17,0.8997577636013481
2023-11-04,14685.333333333334,16399,12749,352.448,17,0.895501758237291
2023-11-05,14528.291666666666,17394,12555,348.679,17,0.8352473075006707
2023-11-06,15540.0,17793,12849,372.96,17,0.8733771707975047
2023-11-07,15681.5,18112,12702,376.356,17,0.8658071996466431
2023-11-08,16608.458333333332,19462,13772,398.603,17,0.8533788065632172
2023-11-09,16120.625,17906,13736,386.895,17,0.9002918016307383
2023-11-10,15813.166666666666,17983,13372,379.516,17,0.8793397467979017
2023-11-11,15461.791666666666,17794,13426,371.083,17,0.8689328799970027
2023-11-12,14925.875,17610,13414,358.221,17,0.8475795002839296
2023-11-13,15753.083333333334,18285,13364,378.074,17,0.8615303983228512
2023-11-14,15865.791666666666,18187,13396,380.779,17,0.8723699162405381
2023-11-15,15363.583333333334,17417,13165,368.726,17,0.8821027348758875
2023-11-16,15375.541666666666,17408,13519,369.013,17,0.883245729932598
2023-11-17,15598.708333333334,17823,12626,374.369,17,0.8752010510763246
2023-11-18,14764.0,16862,13390,354.336,17,0.8755782232238168
2023-11-19,14958.083333333334,17824,12869,358.994,17,0.8392102408737283
2023-11-20,16526.875,19536,13783,396.645,17,0.84597026003276
2023-11-21,17120.291666666668,19417,14031,410.887,17,0.8817166228905943
2023-11-22,16585.666666666668,19034,13524,398.056,17,0.8713705299288992
2023-11-23,16457.958333333332,18947,13482,394.991,17,0.868631357646769
2023-11-24,16882.583333333332,19443,14303,405.182,17,0.8683116460079892
2023-11-25,16052.291666666666,18393,14363,385.255,17,0.8727391761358487
2023-11-26,15733.291666666666,18499,13735,377.599,17,0.8504941708560823
2023-11-27,16884.875,19653,13519,405.237,17,0.8591500025441409
2023-11-28,17469.708333333332,20579,14708,419.273,17,0.8489094870175097
2023-11-29,17645.541666666668,20113,14870,423.493,17,0.8773202240673529
2023-11-30,16402.291666666668,18596,14330,393.655,17,0.8820333225783323
2023-12-01,16825.333333333332,19090,13728,403.808,17,0.8813689540771782
2023-12-02,16097.333333333334,18168,13850,386.336,17,0.8860267136356965
2023-12-03,16117.875,18863,13343,386.829,17,0.8544703917722526
2023-12-04,17204.875,19667,13966,412.917,17,0.8748093252656735
2023-12-05,17502.791666666668,19844,14415,420.067,17,0.8820193341396224
2023-12-06,17459.75,19865,14554,419.034,17,0.8789202114271332
2023-12-07,17437.458333333332,19528,14643,418.499,17,0.8929464529564386
2023-12-08,16680.583333333332,18838,14121,400.334,17,0.8854752804614785
2023-12-09,15270.166666666666,17204,13157,366.484,17,0.8875939703944818
2023-12-10,15498.083333333334,18232,12652,371.954,17,0.8500484496124031
2023-12-11,16965.416666666668,19888,13650,407.17,17,0.8530479015821937
2023-12-12,17025.625,19461,14318,408.615,17,0.8748586917424592
2023-12-13,17317.791666666668,20004,14503,415.627,17,0.8657164400453243
2023-12-14,16923.958333333332,18686,14699,406.175,17,0.9057025759035284
2023-12-15,15998.5,17965,13949,383.964,17,0.890537155580295
2023-12-16,15474.875,17588,13418,371.397,17,0.8798541619285877
2023-12-17,15544.416666666666,18259,13108,373.066,17,0.8513290249557296
2023-12-18,16482.875,19033,13250,395.589,17,0.8660156044764357
2023-12-19,17277.083333333332,19717,14426,414.65,17,0.8762531487210697
2023-12-20,17214.125,19452,14510,413.139,17,0.8849539893070121
2023-12-21,17022.833333333332,19625,14174,408.548,17,0.8674055201698513
2023-12-22,17051.083333333332,18941,14814,409.226,17,0.9002208612709641
2023-12-23,15998.541666666666,18051,13731,383.965,17,0.8862966963972448
2023-12-24,15122.75,16935,12997,362.946,16,0.8929878948922351
2023-12-25,14211.666666666666,15795,12552,341.08,17,0.8997573071647146
2023-12-26,14260.208333333334,16333,12029,342.245,17,0.8730917977917917
2023-12-27,15092.916666666666,17358,12297,362.23,17,0.8695078158005914
2023-12-28,15180.75,17247,12879,364.338,17,0.8801965559227691
2023-12-29,15277.541666666666,17472,12895,366.661,17,0.8744014232295482
2023-12-30,15724.458333333334,18138,13189,377.387,17,0.8669345205278054
2023-12-31,15592.833333333334,18017,13451,374.228,17,0.8654511479898614
2024-01-01,15428.291666666666,17805,13637,370.279,17,0.8665145558363755
2024-01-02,16522.708333333332,19035,13500,396.545,17,0.8680172489274144
2024-01-03,17086.541666666668,19452,14184,410.077,17,0.8783951093289465
2024-01-04,17343.041666666668,19981,14576,416.233,17,0.8679766611614368
2024-01-05,17660.416666666668,19536,15223,423.85,17,0.9039934821184822
2024-01-06,16928.916666666668,19074,14546,406.294,17,0.8875388836461502
2024-01-07,16890.375,19192,14862,405.369,17,0.880073728636932
2024-01-08,17274.416666666668,19665,14257,414.586,17,0.8784346131028054
2024-01-09,17399.0,19996,14049,417.576,17,0.870124024804961
2024-01-10,16998.541666666668,19538,13892,407.965,17,0.8700246528133211
